metal,Z,Z rad,E neg,Ion eng,MM,Redox,%,Temp,cal Time,cat time,MB,Yield
TiO2,25,81,1.55,717.3,54.938,1.51,10,0,6,60,1,49.51
MnO2,25,81,1.55,717.3,54.938,1.51,10,100,1,80,5,62.742
TiO2,25,81,1.55,717.3,54.938,1.51,5,100,1,100,1,45.77
Ag,47,115,1.93,731,107.8682,0.8,2.5,0,6,80,3,74.45333333
TiO2,25,81,1.55,717.3,54.938,1.51,5,0,3,20,3,78.82333333
TiO2,25,81,1.55,717.3,54.938,1.51,0.75,100,6,60,1,45.91
Ni,28,69,1.91,737.1,58.6934,-0.025,0.75,300,1,120,5,82.446
None,27,75.15625,1.623125,671.4875,59.5981,0.78,0,100,6,20,1,43.65
Ag,47,115,1.93,731,107.8682,0.8,0.25,300,6,80,3,86.51666667
Co,27,74.5,1.88,760.4,58.933,1.82,7.5,100,9,100,3,70.83333333
Co,27,74.5,1.88,760.4,58.933,1.82,7.5,200,1,120,3,74.43333333
Ag,47,115,1.93,731,107.8682,0.8,5,200,3,40,5,86.034
Co,27,74.5,1.88,760.4,58.933,1.82,5,200,2,60,3,79.6
none,27,77.50488281,1.673847656,692.4714844,61.46054063,0.78,0,300,6,40,5,86.5
MnO2,25,81,1.55,717.3,54.938,1.51,5,200,6,20,7,65.77142857
Fe,26,76,1.83,762.5,55.845,0.44,0.75,0,9,20,3,61.94666667
Co,27,74.5,1.88,760.4,58.933,1.82,5,300,1,20,1,50.02
Cu,29,72,1.9,745.5,63.546,0.34,10,300,9,100,3,73.32
Fe,26,76,1.83,762.5,55.845,-0.44,10,100,9,60,5,72.406
Ag,47,115,1.93,731,107.8682,0.8,0.75,100,6,20,3,80.67
Ni,28,69,1.91,737.1,58.6934,-0.25,2.5,200,1,120,1,98.75
Co,27,74.5,1.88,760.4,58.933,1.82,0.25,200,6,80,5,81.132
Fe,26,76,1.83,762.5,55.845,-0.44,5,100,9,120,3,79.13666667
Co,27,74.5,1.88,760.4,58.933,1.82,1,0,6,20,1,43.9
Ni,28,69,1.91,737.1,58.6934,-0.25,2.5,300,6,60,1,30.63
Fe,26,76,1.83,762.5,55.845,-0.44,2.5,0,3,20,1,43.59
none,27,79.9269104,1.726155396,714.1112183,63.38118252,0.78,0,100,3,100,5,85.77
Fe,26,76,1.83,762.5,55.845,-0.44,0.25,100,6,80,5,86.82
Fe,26,76,1.83,762.5,55.845,-0.44,1,200,2,40,5,68.978
Ag,47,115,1.93,731,107.8682,0.8,1,300,1,120,7,90.97285714
MnO2,25,81,1.55,717.3,54.938,1.51,0.25,200,2,120,3,62.93333333
MnO2,25,81,1.55,717.3,54.938,1.51,1,300,6,20,5,61.292
,,,,,,,,,,,,
,29.59375,82.42462635,1.780097752,736.4271938,65.36184447,0.85609375,,,,,,
